RowId	dateSold	productSold	unitsSold	salesChannel	Region	custId	custName	productId	productName	stdCost	stdPrice	Country
54	2012-07-12 00:00:00.000	PURA250	109	Online	Sub-Saharan Africa	23315	Anika Tillman	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Burkina Faso
55	2012-06-01 00:00:00.000	PURA200	137	Retail	Unknown	23316	Robert Juarez	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
56	2012-07-17 00:00:00.000	PURA250	196	Online	Europe	23317	Kay Buckley	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Malta
58	2012-08-03 00:00:00.000	SUPA101	4	Online	Unknown	23319	Sylvester Roy	SUPA101	Super Soft - Product Sample	0.3	0	Unknown
60	2012-08-13 00:00:00.000	SUPA101	211	Online	Unknown	23321	Kareem Mays	SUPA101	Super Soft - Product Sample	0.3	0	Unknown
61	2012-06-10 00:00:00.000	PURA100	20	Online	Asia	23322	Arsenio Knowles	PURA100	Pure Soft Detergent - 100ml	1.5	3	Malaysia
62	2012-08-29 00:00:00.000	PURA100	135	Direct	Middle East and North Africa	23323	Colby Knapp	PURA100	Pure Soft Detergent - 100ml	1.5	3	Pakistan
63	2012-08-13 00:00:00.000	SUPA104	193	Retail	Sub-Saharan Africa	23324	Noble Warner	SUPA104	Super Soft - 1 Litre	5	9.99	Burkina Faso
65	2012-08-21 00:00:00.000	SUPA102	126	Online	Europe	23326	Katelyn Joseph	SUPA102	Super Soft - 250ml	2.5	4.5	Slovenia
67	2012-07-15 00:00:00.000	SUPA105	102	Online	Unknown	23328	Keaton Wolfe	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Unknown
68	2012-07-23 00:00:00.000	PURA250	203	Retail	Unknown	23329	Melinda Cobb	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Unknown
69	2012-08-04 00:00:00.000	SUPA101	177	Retail	Europe	23330	Aurelia Flores	SUPA101	Super Soft - Product Sample	0.3	0	United Kingdom
70	2012-08-04 00:00:00.000	SUPA101	51	Online	Unknown	23331	Bevis Mcdonald	SUPA101	Super Soft - Product Sample	0.3	0	Unknown
71	2012-07-11 00:00:00.000	PURA250	203	Retail	Asia	23332	Yael Carter	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Malaysia
72	2012-08-05 00:00:00.000	PURA250	106	Retail	Europe	23333	Sawyer Stokes	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Malta
73	2012-08-17 00:00:00.000	PURA100	14	Direct	Unknown	23334	Silas Battle	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
75	2012-07-01 00:00:00.000	SUPA102	7	Retail	Middle East and North Africa	23336	Petra Mckenzie	SUPA102	Super Soft - 250ml	2.5	4.5	Morocco
76	2012-07-07 00:00:00.000	SUPA103	82	Online	Sub-Saharan Africa	23337	Bell Prince	SUPA103	Super Soft - 500ml	3.5	6.99	Guinea
77	2012-08-12 00:00:00.000	PURA250	178	Online	Unknown	23338	George Best	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Unknown
79	2012-07-05 00:00:00.000	SUPA102	85	Retail	Central America and the Caribbean	23340	Lael Gould	SUPA102	Super Soft - 250ml	2.5	4.5	El Salvador
80	2012-06-27 00:00:00.000	PURA100	77	Online	Unknown	23341	Noel Key	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
81	2012-06-28 00:00:00.000	PURA200	122	Online	Unknown	23342	Paul Duke	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
82	2012-08-23 00:00:00.000	SUPA104	42	Online	Asia	23343	Josiah Yates	SUPA104	Super Soft - 1 Litre	5	9.99	Bangladesh
84	2012-08-29 00:00:00.000	SUPA105	208	Online	Europe	23345	Devin Abbott	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	France
85	2012-07-29 00:00:00.000	SUPA104	13	Retail	Unknown	23346	Aretha Patton	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
87	2012-08-25 00:00:00.000	SUPA104	163	Online	Europe	23348	Tad Mack	SUPA104	Super Soft - 1 Litre	5	9.99	Iceland
90	2012-08-03 00:00:00.000	PURA200	151	Online	Unknown	23351	Nyssa Quinn	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
92	2012-06-10 00:00:00.000	SUPA105	168	Retail	North America	23353	Zahir Fields	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Canada
93	2012-08-03 00:00:00.000	SUPA103	84	Retail	Sub-Saharan Africa	23354	Gwendolyn Mccarty	SUPA103	Super Soft - 500ml	3.5	6.99	Madagascar
94	2012-06-27 00:00:00.000	PURA250	16	Online	Australia and Oceania	23355	Victoria Solis	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Palau
95	2012-06-21 00:00:00.000	PURA200	80	Direct	Unknown	23356	Colette Sargent	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
97	2012-06-11 00:00:00.000	SUPA104	41	Online	Australia and Oceania	23358	Joel Rivers	SUPA104	Super Soft - 1 Litre	5	9.99	Australia
98	2012-07-11 00:00:00.000	SUPA101	19	Online	Sub-Saharan Africa	23359	Kyra Harding	SUPA101	Super Soft - Product Sample	0.3	0	Cameroon
99	2012-06-13 00:00:00.000	SUPA103	37	Retail	Unknown	23360	Barrett Mckinney	SUPA103	Super Soft - 500ml	3.5	6.99	Unknown
100	2012-07-07 00:00:00.000	SUPA103	184	Retail	Sub-Saharan Africa	23361	Benedict Byrd	SUPA103	Super Soft - 500ml	3.5	6.99	Mauritania
101	2012-08-18 00:00:00.000	PURA100	179	Online	Unknown	23362	Jerry Alvarado	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
102	2012-07-20 00:00:00.000	SUPA101	190	Direct	Unknown	23363	Lesley Aguilar	SUPA101	Super Soft - Product Sample	0.3	0	Unknown
104	2012-07-09 00:00:00.000	SUPA102	165	Retail	Central America and the Caribbean	23365	Gwendolyn Walton	SUPA102	Super Soft - 250ml	2.5	4.5	Cuba
105	2012-06-19 00:00:00.000	SUPA101	178	Retail	Europe	23366	Zia Mcmillan	SUPA101	Super Soft - Product Sample	0.3	0	Denmark
106	2012-06-24 00:00:00.000	PURA250	10	Retail	Middle East and North Africa	23367	Roary Dixon	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Saudi Arabia
107	2012-08-25 00:00:00.000	SUPA102	150	Retail	Unknown	23368	Emerson Beard	SUPA102	Super Soft - 250ml	2.5	4.5	Unknown
108	2012-07-02 00:00:00.000	PURA500	77	Online	Unknown	23369	Ivor Mclaughlin	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Unknown
109	2012-06-29 00:00:00.000	PURA100	63	Online	Asia	23370	Clark Orr	PURA100	Pure Soft Detergent - 100ml	1.5	3	Indonesia
110	2012-08-15 00:00:00.000	SUPA103	204	Retail	Central America and the Caribbean	23371	Doris Williams	SUPA103	Super Soft - 500ml	3.5	6.99	Trinidad and Tobago
111	2012-08-12 00:00:00.000	PURA500	22	Online	Sub-Saharan Africa	23372	Phillip Perkins	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Nigeria
113	2012-08-14 00:00:00.000	PURA200	57	Online	Sub-Saharan Africa	23374	Ebony Mercer	PURA200	Pure Soft Detergent - 200ml	2	3.99	Cape Verde
114	2012-06-30 00:00:00.000	SUPA103	5	Retail	Australia and Oceania	23375	Brittany Burris	SUPA103	Super Soft - 500ml	3.5	6.99	Palau
115	2012-07-23 00:00:00.000	SUPA103	85	Online	Sub-Saharan Africa	23376	Imogene Bradshaw	SUPA103	Super Soft - 500ml	3.5	6.99	Niger
116	2012-06-15 00:00:00.000	PURA500	43	Retail	Sub-Saharan Africa	23377	Eleanor Hopper	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Madagascar
117	2012-06-18 00:00:00.000	SUPA105	157	Retail	Europe	23378	Brynne Mcgowan	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Finland
118	2012-08-27 00:00:00.000	PURA200	65	Online	Unknown	23379	Desirae Perkins	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
119	2012-07-22 00:00:00.000	PURA500	95	Online	Australia and Oceania	23380	Ivory Chang	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Tonga
120	2012-07-22 00:00:00.000	SUPA103	159	Online	Sub-Saharan Africa	23381	Gwendolyn David	SUPA103	Super Soft - 500ml	3.5	6.99	Cape Verde
122	2012-07-18 00:00:00.000	SUPA103	39	Online	Unknown	23383	Rosalyn Lopez	SUPA103	Super Soft - 500ml	3.5	6.99	Unknown
123	2012-07-28 00:00:00.000	PURA200	9	Retail	Europe	23384	Basil Bates	PURA200	Pure Soft Detergent - 200ml	2	3.99	Portugal
124	2012-06-08 00:00:00.000	PURA100	50	Online	Europe	23385	Adrian Alvarez	PURA100	Pure Soft Detergent - 100ml	1.5	3	Monaco
126	2012-06-18 00:00:00.000	SUPA104	118	Online	Unknown	23387	Ashely Macdonald	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
128	2012-08-02 00:00:00.000	SUPA101	126	Retail	Unknown	23389	Cynthia Gilliam	SUPA101	Super Soft - Product Sample	0.3	0	Unknown
129	2012-06-27 00:00:00.000	PURA100	176	Online	Middle East and North Africa	23390	Tanner Turner	PURA100	Pure Soft Detergent - 100ml	1.5	3	Yemen
132	2012-08-23 00:00:00.000	SUPA105	113	Retail	Asia	23393	Odette Logan	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Malaysia
133	2012-07-31 00:00:00.000	SUPA105	105	Retail	Sub-Saharan Africa	23394	Garrett May	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Malawi
135	2012-06-29 00:00:00.000	PURA250	116	Online	Sub-Saharan Africa	23396	Katelyn Adams	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Guinea
136	2012-07-10 00:00:00.000	SUPA101	208	Retail	Middle East and North Africa	23397	Moses Huff	SUPA101	Super Soft - Product Sample	0.3	0	Turkey
137	2012-07-24 00:00:00.000	PURA500	45	Direct	Unknown	23398	Susan Schultz	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Unknown
138	2012-06-19 00:00:00.000	SUPA102	193	Online	Europe	23399	Leah Golden	SUPA102	Super Soft - 250ml	2.5	4.5	Norway
139	2012-06-05 00:00:00.000	SUPA101	108	Direct	Europe	23400	Ina Montgomery	SUPA101	Super Soft - Product Sample	0.3	0	Romania
140	2012-07-29 00:00:00.000	SUPA104	205	Retail	Europe	23401	Maia Mitchell	SUPA104	Super Soft - 1 Litre	5	9.99	Switzerland
142	2012-06-28 00:00:00.000	SUPA103	46	Retail	Europe	23403	Molly Crane	SUPA103	Super Soft - 500ml	3.5	6.99	Armenia
143	2012-08-03 00:00:00.000	SUPA101	73	Retail	Europe	23404	Cedric Rivera	SUPA101	Super Soft - Product Sample	0.3	0	Albania
145	2012-07-22 00:00:00.000	PURA500	202	Online	Central America and the Caribbean	23406	Linda Morales	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Saint Lucia
147	2012-07-31 00:00:00.000	PURA200	48	Retail	Unknown	23408	Fatima Case	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
149	2012-06-30 00:00:00.000	PURA250	202	Retail	Unknown	23410	Cooper Brooks	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Unknown
150	2012-08-06 00:00:00.000	PURA200	138	Retail	Middle East and North Africa	23411	Reagan Leach	PURA200	Pure Soft Detergent - 200ml	2	3.99	Pakistan
153	2012-07-08 00:00:00.000	SUPA105	114	Online	Unknown	23414	Arden Conrad	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Unknown
154	2012-08-02 00:00:00.000	PURA500	170	Retail	Asia	23415	Colleen Huff	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Singapore
155	2012-08-04 00:00:00.000	SUPA102	116	Online	Sub-Saharan Africa	23416	Isadora Ford	SUPA102	Super Soft - 250ml	2.5	4.5	Zambia
156	2012-06-21 00:00:00.000	PURA500	100	Online	Sub-Saharan Africa	23417	Heidi Pennington	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Zimbabwe
158	2012-08-27 00:00:00.000	SUPA101	193	Retail	Australia and Oceania	23419	Donovan Noel	SUPA101	Super Soft - Product Sample	0.3	0	Nauru
159	2012-06-21 00:00:00.000	SUPA102	57	Online	Unknown	23420	Joseph Potts	SUPA102	Super Soft - 250ml	2.5	4.5	Unknown
161	2012-08-28 00:00:00.000	PURA500	153	Retail	Europe	23422	Leo Osborne	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Hungary
162	2012-07-27 00:00:00.000	PURA250	29	Retail	Middle East and North Africa	23423	Ima Jensen	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Iraq
163	2012-07-28 00:00:00.000	PURA100	38	Direct	Europe	23424	Norman Dale	PURA100	Pure Soft Detergent - 100ml	1.5	3	Spain
164	2012-07-28 00:00:00.000	SUPA102	3	Online	Unknown	23425	Dana Cobb	SUPA102	Super Soft - 250ml	2.5	4.5	Unknown
166	2012-07-25 00:00:00.000	SUPA105	53	Retail	Europe	23427	Ivy Wells	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Andorra
167	2012-08-14 00:00:00.000	PURA100	153	Direct	Unknown	23428	Sigourney Bullock	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
168	2012-06-16 00:00:00.000	SUPA104	144	Retail	Unknown	23429	Lacota Hinton	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
170	2012-06-11 00:00:00.000	PURA250	7	Retail	Unknown	23431	Cynthia Underwood	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Unknown
171	2012-07-24 00:00:00.000	PURA200	110	Retail	Unknown	23432	Edward Pope	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
172	2012-08-04 00:00:00.000	PURA200	209	Online	Middle East and North Africa	23433	Tara Mckinney	PURA200	Pure Soft Detergent - 200ml	2	3.99	Israel
173	2012-06-17 00:00:00.000	SUPA102	203	Retail	Unknown	23434	Ryder Riddle	SUPA102	Super Soft - 250ml	2.5	4.5	Unknown
174	2012-06-19 00:00:00.000	PURA200	29	Retail	Sub-Saharan Africa	23435	Holmes Graves	PURA200	Pure Soft Detergent - 200ml	2	3.99	Mauritania
176	2012-06-21 00:00:00.000	PURA100	15	Retail	Unknown	23437	Gillian Santiago	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
177	2012-08-02 00:00:00.000	SUPA104	102	Online	Unknown	23438	Kevin Spears	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
180	2012-06-20 00:00:00.000	SUPA102	129	Direct	Middle East and North Africa	23441	Britanni Weeks	SUPA102	Super Soft - 250ml	2.5	4.5	United Arab Emirates
181	2012-08-26 00:00:00.000	PURA500	95	Online	Europe	23442	Timon Kline	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Liechtenstein
182	2012-08-11 00:00:00.000	PURA100	58	Online	Europe	23443	Raphael Casey	PURA100	Pure Soft Detergent - 100ml	1.5	3	Hungary
183	2012-06-17 00:00:00.000	PURA200	160	Online	Middle East and North Africa	23444	Aline Leonard	PURA200	Pure Soft Detergent - 200ml	2	3.99	Saudi Arabia
184	2012-08-23 00:00:00.000	SUPA102	163	Retail	Middle East and North Africa	23445	Macy Stafford	SUPA102	Super Soft - 250ml	2.5	4.5	Turkey
186	2012-06-01 00:00:00.000	SUPA103	147	Online	Europe	23447	Lewis Lester	SUPA103	Super Soft - 500ml	3.5	6.99	Andorra
187	2012-08-20 00:00:00.000	SUPA103	211	Online	Australia and Oceania	23448	Garrett Aguirre	SUPA103	Super Soft - 500ml	3.5	6.99	Samoa 
189	2012-07-16 00:00:00.000	SUPA101	100	Retail	Europe	23450	Lewis Hall	SUPA101	Super Soft - Product Sample	0.3	0	Denmark
190	2012-06-27 00:00:00.000	SUPA102	123	Retail	Europe	23451	Caesar Mcgowan	SUPA102	Super Soft - 250ml	2.5	4.5	Albania
191	2012-06-01 00:00:00.000	PURA250	176	Online	Asia	23452	Simon Carlson	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Uzbekistan
194	2012-06-09 00:00:00.000	PURA200	62	Online	Asia	23455	Abraham Mcguire	PURA200	Pure Soft Detergent - 200ml	2	3.99	Japan
195	2012-06-07 00:00:00.000	PURA100	33	Online	Unknown	23456	Urielle Michael	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
197	2012-07-09 00:00:00.000	SUPA101	69	Online	Middle East and North Africa	23458	Dominique Oneill	SUPA101	Super Soft - Product Sample	0.3	0	Qatar
198	2012-07-17 00:00:00.000	PURA200	121	Online	Asia	23459	Jordan Gordon	PURA200	Pure Soft Detergent - 200ml	2	3.99	Sri Lanka
199	2012-08-24 00:00:00.000	SUPA102	112	Direct	Middle East and North Africa	23460	Fuller Hamilton	SUPA102	Super Soft - 250ml	2.5	4.5	Egypt
201	2012-04-28 00:00:00.000	SUPA105	60	Online	Unknown	23462	Skyler Carson	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Unknown
202	2012-05-25 00:00:00.000	PURA500	202	Online	Australia and Oceania	23463	Blaine Terry	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Nauru
203	2012-04-09 00:00:00.000	SUPA105	181	Retail	Unknown	23464	Zorita Hodge	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Unknown
207	2012-05-15 00:00:00.000	SUPA105	41	Retail	Asia	23468	Maxwell Hoffman	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Japan
208	2012-04-08 00:00:00.000	PURA250	5	Retail	Unknown	23469	Minerva Mcguire	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Unknown
209	2012-05-06 00:00:00.000	PURA200	129	Online	Middle East and North Africa	23470	Herrod Byers	PURA200	Pure Soft Detergent - 200ml	2	3.99	Jordan
210	2012-04-05 00:00:00.000	PURA100	210	Online	Sub-Saharan Africa	23471	Yetta Weaver	PURA100	Pure Soft Detergent - 100ml	1.5	3	Comoros
211	2012-05-28 00:00:00.000	SUPA104	209	Retail	Europe	23472	Zia Ayala	SUPA104	Super Soft - 1 Litre	5	9.99	Bosnia and Herzegovina
214	2012-05-15 00:00:00.000	SUPA102	16	Online	Central America and the Caribbean	23475	Cadman Wilkinson	SUPA102	Super Soft - 250ml	2.5	4.5	Antigua and Barbuda 
215	2012-04-21 00:00:00.000	SUPA103	29	Online	Unknown	23476	Brielle Love	SUPA103	Super Soft - 500ml	3.5	6.99	Unknown
216	2012-05-13 00:00:00.000	SUPA104	164	Online	Unknown	23477	Lani Floyd	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
217	2012-04-29 00:00:00.000	SUPA102	173	Online	Sub-Saharan Africa	23478	Keelie Johns	SUPA102	Super Soft - 250ml	2.5	4.5	Gabon
218	2012-04-27 00:00:00.000	PURA200	119	Direct	Europe	23479	Quinn Frederick	PURA200	Pure Soft Detergent - 200ml	2	3.99	Bosnia and Herzegovina
219	2012-05-11 00:00:00.000	PURA100	111	Online	Unknown	23480	Ralph Ayala	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
220	2012-05-09 00:00:00.000	SUPA103	20	Online	Asia	23481	Gray Ortega	SUPA103	Super Soft - 500ml	3.5	6.99	Sri Lanka
221	2012-04-06 00:00:00.000	PURA250	197	Online	Sub-Saharan Africa	23482	Jameson Hunter	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Botswana
222	2012-05-22 00:00:00.000	SUPA101	122	Direct	Asia	23483	Boris Maynard	SUPA101	Super Soft - Product Sample	0.3	0	Nepal
223	2012-05-26 00:00:00.000	SUPA102	51	Retail	Central America and the Caribbean	23484	Vaughan Bender	SUPA102	Super Soft - 250ml	2.5	4.5	Antigua and Barbuda 
224	2012-05-07 00:00:00.000	SUPA105	38	Online	Middle East and North Africa	23485	Ebony Kirk	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Somalia
225	2012-05-19 00:00:00.000	SUPA105	206	Direct	Europe	23486	Rajah Castillo	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Denmark
227	2012-04-11 00:00:00.000	SUPA102	134	Online	Asia	23488	Geoffrey Browning	SUPA102	Super Soft - 250ml	2.5	4.5	Sri Lanka
228	2012-04-25 00:00:00.000	SUPA105	101	Online	Unknown	23489	Nichole Vinson	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Unknown
229	2012-04-13 00:00:00.000	SUPA102	173	Retail	Europe	23490	Dustin Meyer	SUPA102	Super Soft - 250ml	2.5	4.5	Moldova 
230	2012-04-29 00:00:00.000	SUPA103	87	Online	Unknown	23491	Oscar Clay	SUPA103	Super Soft - 500ml	3.5	6.99	Unknown
231	2012-05-03 00:00:00.000	PURA100	6	Online	Unknown	23492	Alisa Kemp	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
232	2012-05-08 00:00:00.000	SUPA101	176	Retail	Sub-Saharan Africa	23493	Mohammad Mills	SUPA101	Super Soft - Product Sample	0.3	0	Comoros
233	2012-04-05 00:00:00.000	PURA250	77	Online	Europe	23494	Kay Dixon	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Georgia
234	2012-05-16 00:00:00.000	SUPA101	192	Online	Middle East and North Africa	23495	Chava Hunt	SUPA101	Super Soft - Product Sample	0.3	0	Yemen
235	2012-04-06 00:00:00.000	SUPA103	143	Retail	Sub-Saharan Africa	23496	Herrod Huff	SUPA103	Super Soft - 500ml	3.5	6.99	Burundi
